108,89238,-9889,7454,2387,-48,-75,49,26,0,0,1,1
109,90072,-10388,5455,4876,-57,-78,33,41,-4,0,1,1
110,90906,-9932,2965,6919,-47,-74,11,57,-5,0,1,1
111,91740,-8928,360,8539,-29,-64,-6,68,-2,0,1,1
112,92574,-7527,-2370,9890,-8,-53,-27,75,-5,0,1,1
113,93408,-5524,-4931,10462,7,-35,-44,76,-3,0,1,1
114,94242,-2967,-6948,9967,51,-14,-57,71,0,0,1,1
115,95076,-334,-8571,8942,37,7,-69,62,0,0,1,1
116,95910,2403,-9891,7535,46,26,-75,51,3,0,1,1
117,96744,4935,-10446,5546,35,43,-74,34,3,0,1,1
118,97578,6962,-9915,2997,44,57,-70,15,2,0,1,1
119,98412,8566,-8899,364,31,69,-60,-6,2,0,1,1
120,99246,9893,-7459,-2383,52,76,-48,-24,4,0,1,1
121,100080,10396,-5459,-4879,59,78,-33,-41,4,0,1,1
122,100914,9925,-2967,-6917,40,73,-16,-56,2,0,1,1
123,101748,8935,-364,-8536,35,65,8,-68,6,0,1,1
124,102582,7524,2374,-9893,5,52,26,-76,2,0,1,1
125,103416,5535,4922,-10464,-7,33,42,-76,-1,0,1,1
126,104250,2971,6944,-9962,-48,15,56,-72,0,0,1,1
127,105084,335,8567,-8938,-36,-6,70,-64,0,0,1,1
128,105918,-2411,9891,-7530,-50,-27,76,-52,-3,0,1,1
129,106752,-4945,10453,-5546,-38,-42,75,-36,-3,0,1,1
130,107586,-6955,9915,-3004,-43,-58,70,-15,-3,0,1,1
131,108420,-8567,8903,-368,-32,-69,61,6,-2,0,1,1
132,109254,-9891,7454,2385,-52,-77,47,26,-4,0,1,1
133,110088,-10393,5459,4873,-61,-78,32,41,-4,0,1,1
134,110922,-9931,2967,6921,-43,-73,13,57,-3,0,1,1
135,111756,-8934,361,8540,-32,-63,-7,68,-2,0,1,1
136,112590,-7528,-2370,9891,-8,-51,-26,75,-2,0,1,1
137,113424,-5523,-4928,10460,9,-35,-42,75,-2,0,1,1
138,114258,-2970,-6945,9963,47,-15,-58,72,-1,0,1,1
139,115092,-333,-8571,8942,37,9,-67,62,3,0,1,1
140,115926,2400,-9890,7536,46,27,-74,50,3,0,1,1
